state,2001,2011
Andaman & Nicobar Island,846,878
Andhra Pradesh,978,992
Arunanchal Pradesh,893,920
Assam,935,954
Bihar,919,916
Chandigarh ,777,818
Chhattisgarh,989,991
Dadara & Nagar Havelli ,812,775
Daman & Diu ,710,618
Goa,961,968
Gujarat,920,918
Haryana,861,877
Himachal Pradesh,968,974
India,933,940
Jammu & Kashmir,892,883
Jharkhand,941,947
Karnataka,965,968
Kerala,1058,1084
Lakshadweep ,948,946
Madhya Pradesh,919,930
Maharashtra,922,925
Manipur,974,987
Meghalaya,972,986
Mizoram,935,975
Nagaland,900,931
NCT of Delhi ,821,866
Odisha,972,978
Puducherry ,1001,1038
Punjab,876,893
Rajasthan,921,926
Sikkim,875,889
Tamil Nadu,987,995
Telangana,978,992
Tripura,948,961
Uttar Pradesh,898,908
Uttarakhand,962,963
West Bengal,934,947
